"PDF相对路径","章节目录","PDF页码","页数","证据方式","提取字符数","关联知识点","关联题目编号","关联题目数量","覆盖状态"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","17","30","PDF文本层","153","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","18","30","PDF文本层","45","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","19","30","PDF文本层","344","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","20","30","PDF文本层","275","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","21","30","PDF文本层","41","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","22","30","PDF文本层","531","科技伦理基本原则；人工智能伦理风险评估；公平性分群评估；硬件性能指标","1、2、21、22、34、35、36、149、274","9","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","23","30","PDF文本层","579","科技伦理基本原则；人工智能伦理风险评估；公平性分群评估","1、2、21、22、34、35、36","7","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","24","30","PDF文本层","72","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","25","30","PDF文本层","295","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","26","30","PDF文本层","420","科技伦理基本原则；人工智能伦理风险评估；社会责任与人类福祉；公平性分群评估","1、2、9、21、22、34、35、36","8","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","27","30","PDF文本层","542","人工智能伦理风险评估；公平性分群评估","2、22、35、36","4","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","28","30","PDF文本层","250","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","29","30","PDF文本层","352","产品交付流程","521、532、581、619","4","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","30","30","PDF文本层","42","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","1","11","PDF文本层","7","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","2","11","PDF文本层","35","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","3","11","PDF文本层","150","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","4","11","PDF文本层","45","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","5","11","PDF文本层","515","序列建模；监督学习、无监督学习与强化学习；循环神经网络与 Transformer","190、202、205、242、245、267","6","仅关键词候选，未逐题证实"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","6","11","PDF文本层","318","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","7","11","PDF文本层","426","科技伦理基本原则；人工智能伦理风险评估；社会责任与人类福祉；公平性分群评估","1、2、9、21、22、34、35、36","8","仅关键词候选，未逐题证实"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","8","11","PDF文本层","208","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","9","11","PDF文本层","344","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","10","11","PDF文本层","275","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/5565b27e-ce76-464c-97f7-224186cffcba.pdf","第一章","11","11","PDF文本层","42","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","1","12","PDF文本层","7","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","2","12","PDF文本层","38","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","3","12","PDF文本层","531","科技伦理基本原则；人工智能伦理风险评估；公平性分群评估；硬件性能指标","1、2、21、22、34、35、36、149、274","9","仅关键词候选，未逐题证实"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","4","12","PDF文本层","528","科技伦理基本原则；人工智能伦理风险评估；公平性分群评估","1、2、21、22、34、35、36","7","仅关键词候选，未逐题证实"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","5","12","PDF文本层","87","人工智能伦理风险评估；公平性分群评估","2、22、35、36","4","仅关键词候选，未逐题证实"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","6","12","PDF文本层","428","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","7","12","PDF文本层","254","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","8","12","PDF文本层","420","科技伦理基本原则；人工智能伦理风险评估；社会责任与人类福祉；公平性分群评估","1、2、9、21、22、34、35、36","8","仅关键词候选，未逐题证实"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","9","12","PDF文本层","542","人工智能伦理风险评估；公平性分群评估","2、22、35、36","4","仅关键词候选，未逐题证实"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","10","12","PDF文本层","250","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","11","12","PDF文本层","352","产品交付流程","521、532、581、619","4","仅关键词候选，未逐题证实"
"第一章/1-1/6440a34a-8a58-4a15-bc91-775a8b789f90.pdf","第一章","12","12","PDF文本层","42","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","1","20","PDF文本层","7","附件题目 · 基础知识","101、102、103、151、152、181","6","仅关键词候选，未逐题证实"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","2","20","PDF文本层","138","假设检验","58、81、138、189","4","仅关键词候选，未逐题证实"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","3","20","PDF文本层","203","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","4","20","PDF文本层","8","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","5","20","PDF文本层","12","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","6","20","PDF文本层","12","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","7","20","PDF文本层","12","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","8","20","PDF文本层","12","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","9","20","PDF文本层","12","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","10","20","PDF文本层","12","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","11","20","PDF文本层","12","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","12","20","PDF文本层","7","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","13","20","PDF文本层","7","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","14","20","PDF文本层","6","假设检验","58、81、138、189","4","仅关键词候选，未逐题证实"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","15","20","PDF文本层","11","假设检验","58、81、138、189","4","仅关键词候选，未逐题证实"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","16","20","PDF文本层","37","假设检验","58、81、138、189","4","仅关键词候选，未逐题证实"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","17","20","PDF文本层","9","假设检验","58、81、138、189","4","仅关键词候选，未逐题证实"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","18","20","PDF文本层","9","假设检验","58、81、138、189","4","仅关键词候选，未逐题证实"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","19","20","PDF文本层","9","假设检验","58、81、138、189","4","仅关键词候选，未逐题证实"
"第一章/1-2/3750e703-d567-4bcb-b986-27581d569de8.pdf","第一章","20","20","PDF文本层","77","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","1","16","PDF文本层","7","附件题目 · 基础知识","101、102、103、151、152、181","6","仅关键词候选，未逐题证实"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","2","16","PDF文本层","37","附件题目 · 基础知识","101、102、103、151、152、181","6","仅关键词候选，未逐题证实"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","3","16","PDF文本层","125","假设检验","58、81、138、189","4","仅关键词候选，未逐题证实"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","4","16","PDF文本层","133","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","5","16","PDF文本层","95","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","6","16","PDF文本层","89","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","7","16","PDF文本层","6","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","8","16","PDF文本层","174","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","9","16","PDF文本层","66","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","10","16","PDF文本层","67","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","11","16","PDF文本层","19","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","12","16","PDF文本层","34","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","13","16","PDF文本层","17","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","14","16","PDF文本层","149","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","15","16","PDF文本层","27","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/42f9cbab-1ecf-4104-bc03-03a5f0cfc52d.pdf","第一章","16","16","PDF文本层","77","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","1","26","PDF文本层","35","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","2","26","PDF文本层","162","软件构造；瀑布模型；迭代增量模型；功能需求","48、64、65、128、178、281、301、314","8","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","3","26","PDF文本层","8","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","4","26","PDF文本层","162","人工智能产业发展","104、153、182","3","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","5","26","PDF文本层","135","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","6","26","PDF文本层","138","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","7","26","PDF文本层","90","编码修正模型","47、127、177","3","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","8","26","PDF文本层","127","瀑布模型","64","1","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","9","26","PDF文本层","172","瀑布模型；迭代增量模型","64、65","2","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","10","26","PDF文本层","251","瀑布模型；迭代增量模型","64、65","2","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","11","26","PDF文本层","6","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","12","26","PDF文本层","201","功能需求；非功能需求","281、282、301、302、314、318","6","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","13","26","PDF文本层","146","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","14","26","PDF文本层","276","需求分析方法；用户需求确认","283、303、316、320","4","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","15","26","PDF文本层","6","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","16","26","PDF文本层","232","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","17","26","PDF文本层","6","软件构造","48、128、178","3","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","18","26","PDF文本层","111","软件构造","48、128、178","3","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","19","26","PDF文本层","6","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","20","26","PDF文本层","252","验收测试","523、534、583、621","4","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","21","26","PDF文本层","9","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","22","26","PDF文本层","179","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","23","26","PDF文本层","8","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","24","26","PDF文本层","144","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","25","26","PDF文本层","277","产品交付流程","521、532、581、619","4","仅关键词候选，未逐题证实"
"第一章/1-2/a895316d-51cf-48d3-86c7-1084427bc2e2.pdf","第一章","26","26","PDF文本层","42","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","1","12","PDF文本层","7","附件题目 · 基础知识","101、102、103、151、152、181","6","仅关键词候选，未逐题证实"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","2","12","PDF文本层","41","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","3","12","PDF文本层","4","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","4","12","PDF文本层","4","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","5","12","PDF文本层","4","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","6","12","PDF文本层","4","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","7","12","PDF文本层","6","人工智能芯片","214","1","仅关键词候选，未逐题证实"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","8","12","PDF文本层","198","人工智能芯片","214","1","仅关键词候选，未逐题证实"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","9","12","PDF文本层","66","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","10","12","PDF文本层","10","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","11","12","PDF文本层","10","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/cc9fd336-50cd-47a4-af2e-98eb35019759.pdf","第一章","12","12","PDF文本层","77","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","1","28","PDF文本层","37","附件题目 · 基础知识","101、102、103、151、152、181","6","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","2","28","PDF文本层","96","数据清洗；数据清洗目标","42、122、172、192","4","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","3","28","PDF文本层","185","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","4","28","PDF文本层","311","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","5","28","PDF文本层","102","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","6","28","PDF文本层","168","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","7","28","PDF文本层","257","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","8","28","PDF文本层","203","数据清洗；数据清洗目标","42、122、172、192","4","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","9","28","PDF文本层","516","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","10","28","PDF文本层","340","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","11","28","PDF文本层","200","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","12","28","PDF文本层","355","监督学习、无监督学习与强化学习","202、242、267","3","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","13","28","PDF文本层","154","图像数据标注；监督学习、无监督学习与强化学习","51、97、131、202、242、267","6","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","14","28","PDF文本层","359","音频事件时间标注；音频任务标签匹配；监督学习、无监督学习与强化学习；语音任务接口设计","119、167、202、242、267、403","6","已定位依据题：119、167、403；另有关键词候选题：202、242、267"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","15","28","PDF文本层","185","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","16","28","PDF文本层","311","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","17","28","PDF文本层","102","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","18","28","PDF文本层","154","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","19","28","PDF文本层","257","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","20","28","PDF文本层","203","数据清洗；数据清洗目标","42、122、172、192","4","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","21","28","PDF文本层","175","数据清洗；数据清洗目标","42、122、172、192","4","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","22","28","PDF文本层","503","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","23","28","PDF文本层","340","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","24","28","PDF文本层","206","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","25","28","PDF文本层","356","监督学习、无监督学习与强化学习","202、242、267","3","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","26","28","PDF文本层","141","图像数据标注；监督学习、无监督学习与强化学习","51、97、131、202、242、267","6","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","27","28","PDF文本层","370","监督学习、无监督学习与强化学习","202、242、267","3","仅关键词候选，未逐题证实"
"第一章/1-2/ef6f91c8-1359-469e-835f-e536c934174b.pdf","第一章","28","28","PDF文本层","42","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-3/463e62fc-8756-42a5-887e-4cabb86c6812.pdf","第一章","1","14","PDF文本层","35","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-3/463e62fc-8756-42a5-887e-4cabb86c6812.pdf","第一章","2","14","PDF文本层","125","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-3/463e62fc-8756-42a5-887e-4cabb86c6812.pdf","第一章","3","14","PDF文本层","128","","","0","本页无已关联题目；不等于知识点已覆盖"
